Hjemmebane,Udebane,Køretid,Afstand
PadelPadel Århus - LUNAR Arena,8660 Padel,0.3649166666666666,26.4623
8660 Padel,Aarhus Padel Forening,0.3649166666666666,26.4623
Aarhus Padel Forening,8660 Padel,0.3649166666666666,26.4623
8660 Padel,Tønder PadelClub,1.96625,165.0941
Tønder PadelClub,8660 Padel,1.96625,165.0941
8660 Padel,PadelHouse,1.7591388888888888,149.0877
PadelHouse,8660 Padel,1.7591388888888888,149.0877
8660 Padel,X3 Padel,0.2806944444444444,16.2832
X3 Padel,8660 Padel,0.2806944444444444,16.2832
8660 Padel,Rocket Padel - Esbjerg,1.5645833333333334,143.074
Rocket Padel - Esbjerg,8660 Padel,1.5645833333333334,143.074
8660 Padel,Varde Padel,1.5495277777777778,142.1626
Varde Padel,8660 Padel,1.5495277777777778,142.1626
8660 Padel,Padel.dk,1.4132222222222224,122.0122
Padel.dk,8660 Padel,1.4132222222222224,122.0122
8660 Padel,Erritsø Idrætscenter,0.8439722222222222,75.6276
Erritsø Idrætscenter,8660 Padel,0.8439722222222222,75.6276
8660 Padel,Match Padel Ballerup,3.013138888888889,280.367
Match Padel Ballerup,8660 Padel,3.013138888888889,280.367
8660 Padel,Padel 7500,1.3549444444444445,114.2896
Padel 7500,8660 Padel,1.3549444444444445,114.2896
8660 Padel,MiMo Padel - Billund,1.005611111111111,76.702
MiMo Padel - Billund,8660 Padel,1.005611111111111,76.702
8660 Padel,Padel Bredebro,1.8922222222222225,156.638
Padel Bredebro,8660 Padel,1.8922222222222225,156.638
8660 Padel,Padel Nord,1.6836666666666666,159.6731
Padel Nord,8660 Padel,1.6836666666666666,159.6731
8660 Padel,Brønderslev Padel Forening,1.6836666666666666,159.6731
Brønderslev Padel Forening,8660 Padel,1.6836666666666666,159.6731
8660 Padel,Bjerringbro Padel,0.9258888888888888,51.450300000000006
Bjerringbro Padel,8660 Padel,0.9258888888888888,51.450300000000006
8660 Padel,Racket Club Taastrup - Arla Protein Stadion,2.9393333333333334,274.0539
Racket Club Taastrup - Arla Protein Stadion,8660 Padel,2.9393333333333334,274.0539
8660 Padel,Padel Lounge Aalborg,1.3781388888888888,130.8786
Padel Lounge Aalborg,8660 Padel,1.3781388888888888,130.8786
